AUTHOR,BORN-DIED,TITLE,DATE,TECHNIQUE,LOCATION,URL,FORM,TYPE,SCHOOL,TIMEFRAME
"STRIJ, Jacob van","(b. 1756, Dordrecht, d. 1815, Dordrecht)",Landscape with a Shepherd,1800-10,"Oil on wood, 69 x 91 cm","Rijksmuseum, Amsterdam",https://www.wga.hu/html/s/strij/jacob/testamen.html,painting,landscape,Dutch,1751-1800
"STRINDBERG, August","(b. 1849, Stockholm, d. 1912, Stockholm)","Storm in the Skerries. ""The Flying Dutchman""",1892,"Wax colour on cardboard, 62 x 98 cm","Statens Museum for Kunst, Copenhagen",https://www.wga.hu/html/s/strindbe/skerries.html,painting,landscape,Swedish,1851-1900
"STRINGER, Thomas","(b. 1722, Knutsford, d. 1790, Knutsford)","View of Poynton Hall, Cheshire",1745-55,"Oil on canvas, 121 x 103 cm","City Art Gallery, Manchester",https://www.wga.hu/html/s/stringer/poynton.html,painting,landscape,English,1751-1800
"STROOBANT, Fran_ois","(b. 1819, Bruxelles, d. 1916, Bruxelles)",Ruins of the Abbey of Villers,-,"Coloured lithograph, 412 x 295 mm","University of Li_ge, Li_ge",https://www.wga.hu/html/s/strooban/ruins.html,graphics,landscape,Belgian,1851-1900
"STUBBS, George","(b. 1724, Liverpool, d. 1806, London)",A Dark Bay Thoroughbred in a Landscape,1762-68,"Oil on canvas, 102 x 127 cm",Private collection,https://www.wga.hu/html/s/stubbs/darkbay.html,painting,landscape,English,1751-1800
"STUBBS, George","(b. 1724, Liverpool, d. 1806, London)",Haymaking,1785,"Oil on wood, 89,5 x 132,5 cm","Tate Gallery, London",https://www.wga.hu/html/s/stubbs/haymake.html,painting,landscape,English,1751-1800
"SUSTRIS, Lambert","(b. ca. 1515, Amsterdam, d. after 1560, Venezia)",Landscape with Jupiter and Io,1557-63,"Oil on canvas, 206 x 275 cm","The Hermitage, St. Petersburg",https://www.wga.hu/html/s/sustris/lambert/landscap.html,painting,landscape,Dutch,1551-1600
"SUZOR-COTê, Marc Aur_le de Foy","(b.1869, Arthabaska, Qu_bec, d. 1937, Daytona Beach)",Port-Blanc in Brittany,1906,"Oil on canvas, 65 x 81 cm","National Gallery of Canada, Ottawa",https://www.wga.hu/html/s/suzor/brittany.html,painting,landscape,Other,1851-1900
"SWAINE, Francis","(b. ca. 1720, d. 1782, London)",The Royal William (formerly the Prince),-,"Oil on canvas, 71 x 90 cm",Private collection,https://www.wga.hu/html/s/swaine/royalwil.html,painting,landscape,English,1751-1800
"SWANEVELT, Herman van","(b. ca. 1600, Woerden, d. 1655, Paris)",Huntsman at Rest,-,"Oil on canvas, 91 x 118 cm",Private collection,https://www.wga.hu/html/s/swanevel/huntsman.html,painting,landscape,Dutch,1601-1650
"SWANEVELT, Herman van","(b. ca. 1600, Woerden, d. 1655, Paris)",Italian Landscape with Bridge and Castle,1640s,Oil on canvas,"Museum der Bildenden KÅnste, Leipzig",https://www.wga.hu/html/s/swanevel/italian.html,painting,landscape,Dutch,1601-1650
"SWANEVELT, Herman van","(b. ca. 1600, Woerden, d. 1655, Paris)",Italianate Landscape,1640s,"Oil on canvas, 71 x 100 cm",Private collection,https://www.wga.hu/html/s/swanevel/italiana.html,painting,landscape,Dutch,1601-1650
"SWANEVELT, Herman van","(b. ca. 1600, Woerden, d. 1655, Paris)",An Italianate Landscape,1649,"Oil on panel, 47 x 64 cm",Private collection,https://www.wga.hu/html/s/swanevel/italland.html,painting,landscape,Dutch,1601-1650
"SWANEVELT, Herman van","(b. ca. 1600, Woerden, d. 1655, Paris)",Landscape with Bathing Nymphs,-,"Oil on canvas, 51 x 68 cm",Private collection,https://www.wga.hu/html/s/swanevel/landnymp.html,painting,landscape,Dutch,1601-1650
"SWANEVELT, Herman van","(b. ca. 1600, Woerden, d. 1655, Paris)",Landscape with Tall Rocks,1643,Oil on canvas,"Rijksmuseum, Amsterdam",https://www.wga.hu/html/s/swanevel/landscap.html,painting,landscape,Dutch,1601-1650
"SWANEVELT, Herman van","(b. ca. 1600, Woerden, d. 1655, Paris)",Mountainous River Landscape,1642,"Oil on copper, diameter 23 cm",Private collection,https://www.wga.hu/html/s/swanevel/riverlan.html,painting,landscape,Dutch,1601-1650
"SZINYEI MERSE, Pˇl","(b. 1845, Szinyeújfalu, d. 1920, Jernye)",Mallows,1868-69,"Oil on cardboard, 21 x 16 cm","Kiscell Museum, Budapest",https://www.wga.hu/html/s/szinyei/02szinye.html,painting,landscape,Hungarian,1851-1900
"SZINYEI MERSE, Pˇl","(b. 1845, Szinyeújfalu, d. 1920, Jernye)",A Field of Poppies,1896,"Oil on canvas, 39 x 63 cm","Magyar Nemzeti Gal_ria, Budapest",https://www.wga.hu/html/s/szinyei/12szinye.html,painting,landscape,Hungarian,1851-1900
"SZINYEI MERSE, Pˇl","(b. 1845, Szinyeújfalu, d. 1920, Jernye)",Blooming Apple Trees,1902,"Oil on canvas, 50 x 65 cm","Mikszˇth Kˇlmˇn Memorial House, Horpˇcs",https://www.wga.hu/html/s/szinyei/13szinye.html,painting,landscape,Hungarian,1851-1900
